driver=hardware size=960x540 samples=216 flow-prepare=0.45ms/pair fuse=0.17ms/frame

fps  start  alpha  lane        psnr  xfade   gain   bad%   max
 20   1.95   0.50  detail       8.86   9.93  -1.08  86.71  245
 20   1.95   0.83  linear      33.16  29.18   3.98   0.92  242
 20   1.95   0.83  occlusion   22.13  24.01  -1.88   3.13  249
 20   1.95   0.83  detail      14.93  15.58  -0.65  86.02  245
 20   2.55   0.17  linear      33.59  29.49   4.10   0.82  242
 20   2.55   0.17  occlusion   37.16  29.07   8.09   0.92  243
 20   2.55   0.17  detail      15.02  15.65  -0.63  85.88  245
 20   2.55   0.50  linear      34.44  26.34   8.10   0.82  250
 20   2.55   0.50  occlusion   35.12  26.05   9.08   0.89  244
 20   2.55   0.50  detail       8.90   9.96  -1.06  86.57  255
 20   2.55   0.83  linear      34.00  29.46   4.54   0.64  242
 20   2.55   0.83  occlusion   33.05  28.45   4.60   0.86  237
 20   2.55   0.83  detail      15.03  15.63  -0.60  85.98  246
 20   3.40   0.17  linear      35.39  32.48   2.91   0.81  198
 20   3.40   0.17  occlusion   26.15  27.82  -1.67   5.10  230
 20   3.40   0.17  detail      17.49  18.16  -0.67  86.45  161
 20   3.40   0.50  linear      34.58  29.29   5.29   0.79  198
 20   3.40   0.50  occlusion   24.00  24.83  -0.83   4.94  235
 20   3.40   0.50  detail      11.35  12.40  -1.06  86.76  183
 20   3.40   0.83  linear      36.29  32.50   3.78   0.60  192
 20   3.40   0.83  occlusion   27.11  27.68  -0.56   4.46  232
 20   3.40   0.83  detail      17.44  18.07  -0.62  85.86  182
 20   4.25   0.17  linear      36.60  32.31   4.29   0.75  200
 20   4.25   0.17  occlusion   27.83  29.40  -1.56   3.35  228
 20   4.25   0.17  detail      17.45  18.13  -0.68  85.95  172
 20   4.25   0.50  linear      33.57  29.13   4.44   0.75  195
 20   4.25   0.50  occlusion   26.52  26.37   0.15   3.20  235
 20   4.25   0.50  detail      11.41  12.41  -1.00  58.73  197
 20   4.25   0.83  linear      36.15  32.20   3.95   0.99  195
 20   4.25   0.83  occlusion   29.13  29.07   0.06   2.77  225
 20   4.25   0.83  detail      17.56  18.08  -0.52  85.88  157
 20   5.10   0.17  linear      35.60  32.05   3.55   0.86  197
 20   5.10   0.17  occlusion   35.45  33.19   2.27   1.05  237
 20   5.10   0.17  detail      17.49  18.10  -0.61  85.60  189
 20   5.10   0.50  linear      33.18  29.08   4.09   0.90  205
 20   5.10   0.50  occlusion   33.18  29.74   3.44   1.08  238
 20   5.10   0.50  detail      11.36  12.40  -1.04  86.43  197
 20   5.10   0.83  linear      36.73  31.97   4.76   0.95  180
 20   5.10   0.83  occlusion   34.21  31.31   2.91   1.17  227
 20   5.10   0.83  detail      17.44  18.09  -0.65  58.34  189
 20   5.70   0.17  linear      43.62  37.26   6.36   0.23  147
 20   5.70   0.17  occlusion   26.31  27.52  -1.21   4.35  236
 20   5.70   0.17  detail      17.49  18.07  -0.59  86.19  188
 20   5.70   0.50  linear      43.22  34.21   9.02   0.22  201
 20   5.70   0.50  occlusion   24.49  24.82  -0.34   4.59  238
 20   5.70   0.50  detail      11.38  12.38  -1.00  59.13  193
 20   5.70   0.83  linear      44.32  38.44   5.88   0.20  191
 20   5.70   0.83  occlusion   27.31  27.94  -0.63   4.34  235
 20   5.70   0.83  detail      17.53  18.07  -0.55  86.15  190

lane        mean   worst  xfade-mean  xfade-worst  worst-bad%  max
detail      21.29   8.86       21.24         9.93       86.76  255
linear      39.72  30.06       33.54        25.79        1.09  252
occlusion   35.69  21.21       29.56        20.38        5.33  253

temporal (60 FPS source, 4x output, 6 consecutive pairs)
lane        error-step  xfade-step
linear            0.14        0.30
occlusion         0.76        1.43
detail            2.28        5.52
interpolation quality: ok
